time,step,ballSeen,ballAngle,ballDist,uz,irL,irR,gripIR,camYaw,gas,steering,hasBall,holdTicks,isRetrying,displacementX,displacementZ,heading,speed
0.000,1,0,0.0000,1.0000,1.0000,0,0,0,0.2022,0.2011,0.7784,0,0,0,0.0000,0.0000,0.0000,0.0000
0.020,2,0,0.0000,1.0000,0.4127,0,0,0,0.4045,0.2011,0.7784,0,0,0,0.0000,0.0000,0.0000,0.0008
0.040,3,0,0.0000,1.0000,0.4129,0,0,0,0.6067,0.2011,0.7784,0,0,0,0.0000,0.0000,0.0000,0.0005
0.060,4,0,0.0000,1.0000,0.4130,0,0,0,0.8089,0.2011,0.7784,0,0,0,0.0000,0.0000,0.0000,0.0006
0.080,5,0,0.0000,1.0000,0.4132,0,0,0,1.0112,0.2011,0.7784,0,0,0,0.0001,0.0000,0.0001,0.0006
0.100,6,0,0.0225,1.0000,0.4133,0,0,0,1.8859,0.4739,1.0000,0,0,0,0.0001,0.0000,0.0001,0.0006
0.120,7,0,0.0225,1.0000,0.4135,0,0,0,2.7606,0.4739,1.0000,0,0,0,0.0001,0.0000,0.0001,0.0006
0.140,8,0,0.0225,1.0000,0.4136,0,0,0,3.6354,0.4739,1.0000,0,0,0,0.0001,0.0000,0.0001,0.0006
0.160,9,0,0.0225,1.0000,0.4138,0,0,0,4.5101,0.4739,1.0000,0,0,0,0.0001,0.0000,0.0001,0.0006
0.180,10,0,0.0225,1.0000,0.4139,0,0,0,5.3848,0.4739,1.0000,0,0,0,0.0001,0.0000,0.0001,0.0006
0.200,11,0,0.1197,1.0000,0.4141,0,0,0,6.4763,0.2348,0.5643,0,0,0,0.0001,0.0000,0.0001,0.0007
0.220,12,0,0.1197,1.0000,0.4143,0,0,0,7.5677,0.2348,0.5643,0,0,0,0.0002,0.0001,0.0002,0.0007
0.240,13,0,0.1197,1.0000,0.4144,0,0,0,8.6592,0.2348,0.5643,0,0,0,0.0002,0.0001,0.0002,0.0007
0.260,14,0,0.1197,1.0000,0.4146,0,0,0,9.7506,0.2348,0.5643,0,0,0,0.0002,0.0001,0.0002,0.0007
0.280,15,0,0.1197,1.0000,0.4148,0,0,0,10.8421,0.2348,0.5643,0,0,0,0.0002,0.0001,0.0002,0.0007
0.300,16,0,0.2409,1.0000,0.4149,0,0,0,12.0421,0.7528,0.6464,0,0,0,0.0002,0.0001,0.0002,0.0007
0.320,17,0,0.2409,1.0000,0.4151,0,0,0,13.2421,0.7528,0.6464,0,0,0,0.0002,0.0001,0.0002,0.0007
0.340,18,0,0.2409,1.0000,0.4153,0,0,0,14.4421,0.7528,0.6464,0,0,0,0.0003,0.0001,0.0003,0.0007
0.360,19,0,0.2409,1.0000,0.4155,0,0,0,15.6421,0.7528,0.6464,0,0,0,0.0003,0.0001,0.0003,0.0008
0.380,20,0,0.2409,1.0000,0.4157,0,0,0,16.8421,0.7528,0.6464,0,0,0,0.0003,0.0001,0.0003,0.0008
0.400,21,0,0.3743,1.0000,0.4158,0,0,0,17.8581,0.8641,0.6269,0,0,0,0.0003,0.0001,0.0003,0.0008
0.420,22,0,0.3743,1.0000,0.4160,0,0,0,18.8742,0.8641,0.6269,0,0,0,0.0003,0.0001,0.0003,0.0008
0.440,23,0,0.3743,1.0000,0.4162,0,0,0,19.8903,0.8641,0.6269,0,0,0,0.0003,0.0001,0.0003,0.0000
0.460,24,0,0.3743,1.0000,0.4162,0,0,0,20.9064,0.8641,0.6269,0,0,0,0.0003,0.0001,0.0003,0.0000
0.480,25,0,0.3743,1.0000,0.4162,0,0,0,21.9224,0.8641,0.6269,0,0,0,0.0003,0.0001,0.0003,0.0000
0.500,26,0,0.4872,1.0000,0.1307,0,0,0,22.7888,0.1654,0.8067,0,0,0,0.0003,0.0001,0.0003,0.0000
0.520,27,0,0.4872,1.0000,0.1298,0,0,0,23.6551,0.1654,0.8067,0,0,0,0.0003,0.0001,0.0003,0.0000
0.540,28,0,0.4872,1.0000,0.1298,0,0,0,24.5214,0.1654,0.8067,0,0,0,0.0003,0.0001,0.0003,0.0000
0.560,29,0,0.4872,1.0000,0.1298,0,0,0,25.3877,0.1654,0.8067,0,0,0,0.0003,0.0001,0.0003,0.0000
0.580,30,0,0.4872,1.0000,0.1298,0,0,0,26.2540,0.1654,0.8067,0,0,0,0.0003,0.0001,0.0003,0.0000
0.600,31,0,0.5834,1.0000,0.1298,0,0,0,26.8289,0.5376,0.8970,0,0,0,0.0003,0.0001,0.0003,0.0000
0.620,32,0,0.5834,1.0000,0.1298,0,0,0,27.4038,0.5376,0.8970,0,0,0,0.0003,0.0001,0.0003,0.0000
0.640,33,0,0.5834,1.0000,0.1298,0,0,0,27.9786,0.5376,0.8970,0,0,0,0.0003,0.0001,0.0003,0.0000
0.660,34,0,0.5834,1.0000,0.1298,0,0,0,28.5535,0.5376,0.8970,0,0,0,0.0003,0.0001,0.0003,0.0000
0.680,35,0,0.5834,1.0000,0.1298,0,0,0,29.1284,0.5376,0.8970,0,0,0,0.0003,0.0001,0.0003,0.0000
0.700,36,0,0.6473,1.0000,0.1298,0,0,0,29.6345,0.7585,0.8191,0,0,0,0.0003,0.0001,0.0003,0.0000
0.720,37,0,0.6473,1.0000,0.1298,0,0,0,30.1406,0.7585,0.8191,0,0,0,0.0003,0.0001,0.0003,0.0000
0.740,38,0,0.6473,1.0000,0.1298,0,0,0,30.6467,0.7585,0.8191,0,0,0,0.0003,0.0001,0.0003,0.0000
0.760,39,0,0.6473,1.0000,0.1298,0,0,0,31.1528,0.7585,0.8191,0,0,0,0.0003,0.0001,0.0003,0.0000
0.780,40,0,0.6473,1.0000,0.1298,0,0,0,31.6588,0.7585,0.8191,0,0,0,0.0003,0.0001,0.0003,0.0000
0.800,41,0,0.7035,1.0000,0.1298,0,0,0,32.1565,0.9807,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
0.820,42,0,0.7035,1.0000,0.1298,0,0,0,32.6542,0.9807,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
0.840,43,0,0.7035,1.0000,0.1298,0,0,0,33.1519,0.9807,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
0.860,44,0,0.7035,1.0000,0.1298,0,0,0,33.6496,0.9807,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
0.880,45,0,0.7035,1.0000,0.1298,0,0,0,34.1473,0.9807,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
0.900,46,0,0.7588,1.0000,0.1298,0,0,0,34.3348,0.4011,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
0.920,47,0,0.7588,1.0000,0.1312,0,0,0,34.5223,0.4011,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
0.940,48,0,0.7588,1.0000,0.1310,0,0,0,34.7099,0.4011,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
0.960,49,0,0.7588,1.0000,0.1310,0,0,0,34.8974,0.4011,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
0.980,50,0,0.7588,1.0000,0.1310,0,0,0,35.0849,0.4011,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
1.000,51,0,0.7797,1.0000,0.1310,0,0,0,35.1803,0.4148,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
1.020,52,0,0.7797,1.0000,0.1310,0,0,0,35.2756,0.4148,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
1.040,53,0,0.7797,1.0000,0.1310,0,0,0,35.3710,0.4148,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
1.060,54,0,0.7797,1.0000,0.1310,0,0,0,35.4663,0.4148,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
1.080,55,0,0.7797,1.0000,0.1310,0,0,0,35.5617,0.4148,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
1.100,56,0,0.7903,1.0000,0.1310,0,0,0,35.7721,0.2613,0.9519,0,0,0,0.0003,0.0001,0.0003,0.0000
1.120,57,0,0.7903,1.0000,0.1310,0,0,0,35.9825,0.2613,0.9519,0,0,0,0.0003,0.0001,0.0003,0.0000
1.140,58,0,0.7903,1.0000,0.1310,0,0,0,36.1930,0.2613,0.9519,0,0,0,0.0003,0.0001,0.0003,0.0000
1.160,59,0,0.7903,1.0000,0.1310,0,0,0,36.4034,0.2613,0.9519,0,0,0,0.0003,0.0001,0.0003,0.0000
1.180,60,0,0.7903,1.0000,0.1310,0,0,0,36.6138,0.2613,0.9519,0,0,0,0.0003,0.0001,0.0003,0.0000
1.200,61,0,0.8136,1.0000,0.1310,0,0,0,36.7959,0.8637,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
1.220,62,0,0.8136,1.0000,0.1310,0,0,0,36.9780,0.8637,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
1.240,63,0,0.8136,1.0000,0.1310,0,0,0,37.1600,0.8637,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
1.260,64,0,0.8136,1.0000,0.1310,0,0,0,37.3421,0.8637,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
1.280,65,0,0.8136,1.0000,0.1310,0,0,0,37.5242,0.8637,1.0000,0,0,0,0.0003,0.0001,0.0003,0.0000
1.300,66,0,0.8339,1.0000,0.1310,0,0,0,37.9266,0.6237,0.8536,0,0,0,0.0003,0.0001,0.0003,0.0000
1.320,67,0,0.8339,1.0000,0.1310,0,0,0,38.3290,0.6237,0.8536,0,0,0,0.0003,0.0001,0.0003,0.0000
1.340,68,0,0.8339,1.0000,0.1310,0,0,0,38.7314,0.6237,0.8536,0,0,0,0.0003,0.0001,0.0003,0.0000
1.360,69,0,0.8339,1.0000,0.1310,0,0,0,39.1339,0.6237,0.8536,0,0,0,0.0003,0.0001,0.0003,0.0000
1.380,70,0,0.8339,1.0000,0.1310,0,0,0,39.5363,0.6237,0.8536,0,0,0,0.0003,0.0001,0.0003,0.0000
1.400,71,0,0.8786,1.0000,0.1310,0,0,0,39.2453,0.7876,0.8675,0,0,0,0.0003,0.0001,0.0003,0.0000
1.420,72,0,0.8786,1.0000,0.1310,0,0,0,38.9542,0.7876,0.8675,0,0,0,0.0003,0.0001,0.0003,0.0000
1.440,73,0,0.8786,1.0000,0.1310,0,0,0,38.6632,0.7876,0.8675,0,0,0,0.0003,0.0001,0.0003,0.0000
1.460,74,0,0.8786,1.0000,0.1310,0,0,0,38.3722,0.7876,0.8675,0,0,0,0.0003,0.0001,0.0003,0.0000
1.480,75,0,0.8786,1.0000,0.1310,0,0,0,38.0812,0.7876,0.8675,0,0,0,0.0003,0.0001,0.0003,0.0000
1.500,76,0,0.8462,1.0000,0.1297,0,0,0,38.0670,0.8318,0.5530,0,0,0,0.0003,0.0001,0.0003,0.0000
1.520,77,0,0.8462,1.0000,0.1297,0,0,0,38.0528,0.8318,0.5530,0,0,0,0.0003,0.0001,0.0003,0.0000
1.540,78,0,0.8462,1.0000,0.1297,0,0,0,38.0386,0.8318,0.5530,0,0,0,0.0003,0.0001,0.0003,0.0000
1.560,79,0,0.8462,1.0000,0.1297,0,0,0,38.0245,0.8318,0.5530,0,0,0,0.0003,0.0001,0.0003,0.0000
1.580,80,0,0.8462,1.0000,0.1297,0,0,0,38.0103,0.8318,0.5530,0,0,0,0.0003,0.0001,0.0003,0.0000
